阿星✨公告,#genre#
江西教育,http://59.52.59.197:8008/rtp/239.252.219.115:5140
江西陶瓷,http://59.52.59.197:8008/rtp/239.252.220.243:5140
风尚购物,http://59.52.59.197:8008/rtp/239.252.219.101:5140

📺️少尔✨阿星自制▶️,#genre#
金鹰卡通,http://59.52.59.197:8008/rtp/239.252.219.69:5140
炫动卡通,http://59.52.59.197:8008/rtp/239.252.219.43:5140
卡酷卡通,http://59.52.59.197:8008/rtp/239.252.219.109:5140
嘉佳卡通,http://59.52.59.197:8008/rtp/239.252.219.92:5140
动漫秀场,http://59.52.59.197:8008/rtp/239.252.219.59:5140
少儿动画,http://59.52.59.197:8008/rtp/239.252.220.136:5140
动画,http://59.52.59.197:8008/rtp/239.252.219.165:5140
早教,http://59.52.59.197:8008/rtp/239.252.219.164:5140
好学生,http://59.52.59.197:8008/rtp/239.252.220.90:5140
游戏风云,http://59.52.59.197:8008/rtp/239.252.219.60:5140

📺️休闲娱乐✨阿星自制▶️,#genre#
热播剧场,http://59.52.59.197:8008/rtp/239.252.220.138:5140
经典电影,http://59.52.59.197:8008/rtp/239.252.220.139:5140
爱综艺,http://59.52.59.197:8008/rtp/239.252.220.140:5140
爱体育,http://59.52.59.197:8008/rtp/239.252.220.141:5140
爱电影,http://59.52.59.197:8008/rtp/239.252.220.142:5140
爱大剧,http://59.52.59.197:8008/rtp/239.252.220.143:5140
城市剧场,http://59.52.59.197:8008/rtp/239.252.220.75:5140
军旅剧场,http://59.52.59.197:8008/rtp/239.252.220.76:5140
古装剧场,http://59.52.59.197:8008/rtp/239.252.220.77:5140
喜剧影院,http://59.52.59.197:8008/rtp/239.252.220.79:5140
动作影院,http://59.52.59.197:8008/rtp/239.252.220.85:5140
家庭影院,http://59.52.59.197:8008/rtp/239.252.220.86:5140
音乐现场,http://59.52.59.197:8008/rtp/239.252.220.87:5140
武侠剧场,http://59.52.59.197:8008/rtp/239.252.220.88:5140
IPTV碟战剧场,http://59.52.59.197:8008/rtp/239.252.220.145:5140
IPTV相声小品,http://59.52.59.197:8008/rtp/239.252.220.146:5140
IPTV野外,http://59.52.59.197:8008/rtp/239.252.220.73:5140
IPTV法治,http://59.52.59.197:8008/rtp/239.252.220.74:5140
收视指南,http://59.52.59.197:8008/rtp/239.252.220.144:5140
金鹰纪实,http://59.52.59.197:8008/rtp/239.252.220.155:5140
先锋乒羽,http://59.52.59.197:8008/rtp/239.252.219.184:5140
央视台球,http://59.52.59.197:8008/rtp/239.252.219.80:5140
央视精品HD,http://59.52.59.197:8008/rtp/239.252.219.81:5140
欢笑剧场-4K,http://59.52.59.197:8008/rtp/239.252.219.224:5140
都市剧场,http://59.52.59.197:8008/rtp/239.252.219.225:5140
华数精彩影视,http://59.52.59.197:8008/rtp/239.252.220.223:5140
中国教育4频道,http://59.52.59.197:8008/rtp/239.252.219.169:5140
CHC高清电影,http://59.52.59.197:8008/rtp/239.252.219.83:5140
CHC家庭影院,http://59.52.59.197:8008/rtp/239.252.219.84:5140
CHC动作电影,http://59.52.59.197:8008/rtp/239.252.219.85:5140
纪实人文,http://59.52.59.197:8008/rtp/239.252.219.227:5140
乐游,http://59.52.59.197:8008/rtp/239.252.219.141:5140
法治天地,http://59.52.59.197:8008/rtp/239.252.219.56:5140
生活时尚,http://59.52.59.197:8008/rtp/239.252.219.54:5140
金色频道,http://59.52.59.197:8008/rtp/239.252.219.63:5140
财富天下,http://59.52.59.197:8008/rtp/239.252.220.240:5140
国学,http://59.52.59.197:8008/rtp/239.252.220.157:5140
文物宝库HD,http://59.52.59.197:8008/rtp/239.252.220.158:5140
东方财经HD,http://59.52.59.197:8008/rtp/239.252.219.57:5140
求索记录HD,http://59.52.59.197:8008/rtp/239.252.220.224:5140
茶HD,http://59.52.59.197:8008/rtp/239.252.220.160:5140
快乐垂钓HD,http://59.52.59.197:8008/rtp/239.252.220.177:5140
梨园HD,http://59.52.59.197:8008/rtp/239.252.220.179:5140
武术世界HD,http://59.52.59.197:8008/rtp/239.252.220.180:5140
汽摩,http://59.52.59.197:8008/rtp/239.252.220.181:5140
山东教育,http://59.52.59.197:8008/rtp/239.252.219.74:5140
书画,http://59.52.59.197:8008/rtp/239.252.219.99:5140
新动漫,http://59.52.59.197:8008/rtp/239.252.220.132:5140
环球奇观,http://59.52.59.197:8008/rtp/239.252.220.135:5140
中华特产,http://59.52.59.197:8008/rtp/239.252.220.213:5140
四海钓鱼,http://59.52.59.197:8008/rtp/239.252.220.214:5140
车迷,http://59.52.59.197:8008/rtp/239.252.220.215:5140
生态环境,http://59.52.59.197:8008/rtp/239.252.220.216:5140
家庭理财,http://59.52.59.197:8008/rtp/239.252.220.217:5140
环球旅游,http://59.52.59.197:8008/rtp/239.252.220.218:5140
优优宝贝,http://59.52.59.197:8008/rtp/239.252.220.219:5140
证券服务,http://59.52.59.197:8008/rtp/239.252.219.144:5140
百姓健康,http://59.52.59.197:8008/rtp/239.252.219.146:5140
天翼高清1,http://59.52.59.197:8008/rtp/239.252.220.225:5140
天翼高清2,http://59.52.59.197:8008/rtp/239.252.220.226:5140
天翼高清3,http://59.52.59.197:8008/rtp/239.252.220.227:5140
天翼高清4,http://59.52.59.197:8008/rtp/239.252.220.228:5140
天翼高清5,http://59.52.59.197:8008/rtp/239.252.220.229:5140
天翼高清6,http://59.52.59.197:8008/rtp/239.252.220.230:5140
天翼高清7,http://59.52.59.197:8008/rtp/239.252.220.231:5140
天翼高清8,http://59.52.59.197:8008/rtp/239.252.220.232:5140
天翼高清9,http://59.52.59.197:8008/rtp/239.252.220.233:5140
天翼高清10,http://59.52.59.197:8008/rtp/239.252.220.234:5140
天翼4K-15M,http://59.52.59.197:8008/rtp/239.252.220.236:5140
芒果跨年(特写),http://59.52.59.197:8008/rtp/239.252.219.188:5140
芒果跨年云监工,http://59.52.59.197:8008/rtp/239.252.219.187:5140
魅力时尚,http://59.52.59.197:8008/rtp/239.252.220.137:5140
爱生活,http://59.52.59.197:8008/rtp/239.252.220.89:5140
精选,http://59.52.59.197:8008/rtp/239.252.219.161:5140
国学,http://59.52.59.197:8008/rtp/239.252.220.157:5140
戏曲,http://59.52.59.197:8008/rtp/239.252.219.163:5140
鉴赏,http://59.52.59.197:8008/rtp/239.252.219.166:5140
墨宝,http://59.52.59.197:8008/rtp/239.252.219.168:5140
光影,http://59.52.59.197:8008/rtp/239.252.220.200:5140
台球,http://59.52.59.197:8008/rtp/239.252.220.201:5140
美人,http://59.52.59.197:8008/rtp/239.252.220.202:5140
武术,http://59.52.59.197:8008/rtp/239.252.220.203:5140
高网,http://59.52.59.197:8008/rtp/239.252.220.204:5140
足球,http://59.52.59.197:8008/rtp/239.252.220.205:5140
军事,http://59.52.59.197:8008/rtp/239.252.220.206:5140
地理,http://59.52.59.197:8008/rtp/239.252.220.207:5140
美妆,http://59.52.59.197:8008/rtp/239.252.220.208:5140
解密,http://59.52.59.197:8008/rtp/239.252.220.209:5140
星影,http://59.52.59.197:8008/rtp/239.252.220.210:5140
爱体育高清,http://59.52.59.197:8008/rtp/239.252.220.211:5140
爱上4K,http://59.52.59.197:8008/rtp/239.252.220.212:5140


▶️薇视✨阿星广冬电,#genre#
湖南卫视超清,http://113.90.45.208:8888/udp/239.77.0.127:5146
湖南卫视,http://113.90.45.208:8888/udp/239.77.1.5:5146
湖南卫视,http://113.90.45.208:8888/udp/239.77.1.129:5146
湖南卫视,http://113.90.45.208:8888/udp/239.77.0.88:5146
湖南卫视,http://113.90.45.208:8888/udp/239.77.0.46:5146
湖南卫视,http://113.90.45.208:8888/udp/239.77.1.29:5146
浙江卫视超清,http://113.90.45.208:8888/udp/239.77.0.125:5146
浙江卫视,http://113.90.45.208:8888/udp/239.77.1.33:5146
浙江卫视,http://113.90.45.208:8888/udp/239.77.1.150:5146
浙江卫视,http://113.90.45.208:8888/udp/239.77.0.89:5146
浙江卫视,http://113.90.45.208:8888/udp/239.77.0.47:5146
浙江卫视,http://113.90.45.208:8888/udp/239.77.1.32:5146
江苏卫视超清,http://113.90.45.208:8888/udp/239.77.0.126:5146
江苏卫视,http://113.90.45.208:8888/udp/239.77.1.18:5146
江苏卫视,http://113.90.45.208:8888/udp/239.77.1.149:5146
江苏卫视,http://113.90.45.208:8888/udp/239.77.0.90:5146
江苏卫视,http://113.90.45.208:8888/udp/239.77.0.48:5146
江苏卫视,http://113.90.45.208:8888/udp/239.77.1.40:5146
东方卫视,http://113.90.45.208:8888/udp/239.77.0.98:5146
东方卫视,http://113.90.45.208:8888/udp/239.77.1.218:5146
东方卫视,http://113.90.45.208:8888/udp/239.77.1.156:5146
东方卫视,http://113.90.45.208:8888/udp/239.77.0.49:5146
东方卫视,http://113.90.45.208:8888/udp/239.77.1.48:5146
